song,clip_duration,clip_start
北風と太陽,10,0
不敢奢想改變你,14,52
非核家園進行曲,10,61
荒蛮的幽默,19,55
梦里蓝天,24,110
南海姑娘,19,52
噢！乖,9,66
时をこえ,10,27
新宿午前3时25分,10,0
月亮忘了,10,125
Angel baby,9,17
Be My Lady,14,7
Brazilian Rhyme (live),15,18
Butterfly,10,62
Come and Get Your Love,10,46
Crushed Velvet,10,8
"Do Me, Baby (Live)",9,16
Dreaming Of You,9,54
ENDLESS RAIN,23,114
Fool If You Think It's Over,10,65
Holiday,11,195
I Don't Want To Miss A Thing,11,45
I Thought I Saw Your Face Today,10,0
I Want It That Way,24,134
If Only,10,48
Ironic,25,10
Just Like Jesse James,9,56
Killer Queen,9,134
Leave The Door Open,13,59
Man In The Mirror,26,67
Miss You,16,43
No Plans for Tomorrow,18,0
No Woman No Cry,13,31
Oh Honey,9,114
Oo Baby Baby,10,0
Put Your Head On My Shoulder,18,9
Redbone,10,94
September,13,156
Somebody Else's Guy,9,62
The Faintest Sign,23,153
To Love You More,10,82
"Tomorrow, Wendy (2010 Digital Remaster)",29,98
Try Love,9,53
Under Pressure - Remastered 2011,9,28
Vinyl is My Bible,19,26
We'll Make It (12 Inch Version),16,0
Welcome To My World,10,61
What Do You Mean It's 1985,9,119
What the World Needs Now Is Love,20,0
Woman,11,11